shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_3592,34.908428,-118.924149,252,52827.19040032
p_3592,34.905777,-118.923965,253,53121.76971633
p_3592,34.904869,-118.923798,254,53223.65189876
p_3592,34.903809,-118.923508,255,53344.19691216
p_3592,34.902477,-118.92318,256,53494.97748823
p_3592,34.901989,-118.92308,257,53549.8816797099
p_3592,34.900291,-118.922783,258,53740.2014954
p_3592,34.899876,-118.922707,259,53786.76214734
p_3592,34.899475,-118.9226,260,53832.31087032
p_3592,34.898983,-118.922424,261,53889.21386577
p_3592,34.898602,-118.922279,262,53933.51057184
p_3592,34.898186,-118.922073,263,53983.35417278
p_3592,34.897789,-118.921837,264,54032.39550343
p_3592,34.897419,-118.9216,265,54078.80815166
p_3592,34.897064,-118.921341,266,54124.75875147
p_3592,34.896694,-118.921051,267,54173.62069193
p_3592,34.89473,-118.919357,268,54440.91842156
p_3592,34.894405,-118.91906,269,54486.05093935
p_3592,34.894058,-118.918701,270,54536.63468535
p_3592,34.893757,-118.918365,271,54582.00328847
p_3592,34.891479,-118.915619,272,54938.19095253
p_3592,34.891258,-118.915337,273,54973.76580812
p_3592,34.891056,-118.915054,274,55007.99124155
p_3592,34.890888,-118.914787,275,55038.69998778
p_3592,34.890747,-118.914543,276,55065.94232517
p_3592,34.89061,-118.914284,277,55094.07601377
p_3592,34.890472,-118.913986,278,55125.32344386
p_3592,34.890331,-118.913643,279,55160.36237785
p_3592,34.890217,-118.913315,280,55192.90301327
p_3592,34.890118,-118.912979,281,55225.52140019
p_3592,34.89003,-118.912605,282,55261.07536809
p_3592,34.889767,-118.911438,283,55371.66928125
p_3592,34.889671,-118.911049,284,55408.78860387
p_3592,34.889587,-118.910744,285,55438.18499439
p_3592,34.8895,-118.910477,286,55464.43073646
p_3592,34.8894,-118.910217,287,55490.65924185
p_3592,34.889297,-118.909966,288,55516.29129301
p_3592,34.889179,-118.909721,289,55542.23228333
p_3592,34.886677,-118.904678,290,56080.33885929
p_3592,34.886276,-118.903938,291,56161.30225354
p_3592,34.885807,-118.903229,292,56244.41573538
p_3592,34.885296,-118.902618,293,56323.99868238
p_3592,34.884693,-118.902039,294,56409.30175316
p_3592,34.884315,-118.901749,295,56458.9136491
p_3592,34.883743,-118.901367,296,56531.34469023
p_3592,34.882957,-118.900948,297,56626.58447261
p_3592,34.882229,-118.900558,298,56714.86719153
p_3592,34.881561,-118.900208,299,56795.58655446
p_3592,34.881187,-118.899986,300,56841.77523557
p_3592,34.880699,-118.899651,301,56903.97534653
